order_date,sub_order_num,order_status,state,pin,gst_amount,meesho_price,shipping_charges_total,price
2022-08-30,381809810413_1,Shipped,Jammu & Kashmir,180006,66.68000000000000,1400,121,1521
2022-08-10,940712900368_1,rto,Uttar Pradesh,208014,69.58000000000000,1461,114,1575
2022-08-03,322259568161_1,Delivered,Telangana,509001,64.30000000000000,1350,108,1440
2022-08-27,475133679575_1,Cancelled,Jammu & Kashmir,182101,98.96000000000000,2078,0,2078
2022-08-04,493966375185_1,rto,Odisha,760001,64.30000000000000,1350,108,1458
2022-08-09,284641390076_1,Delivered,Maharashtra,400607,64.30000000000000,1350,105,1439
2022-08-02,528661643961_1,Return,West Bengal,700061,35.72000000000000,750,79,829
2022-08-15,313984293646_1,Delivered,West Bengal,700091,71.44000000000000,1500,110,1610
2022-08-08,545646779706_1,rto,Andhra Pradesh,515501,64.30000000000000,1350,114,1464
2022-08-13,755146728346_1,Delivered,Uttar Pradesh,201009,64.30000000000000,1350,114,1448
2022-08-30,910483967612_1,Shipped,Assam,788164,24.72000000000000,519,0,519
2022-08-23,933916764856_1,rto,Chandigarh,144402,116.96000000000000,2456,0,2456
2022-08-28,810704930357_1,Shipped,Jammu & Kashmir,182204,70.24000000000000,1475,0,1475
2022-08-15,486842794529_1,rto,Delhi,452001,99.86000000000000,2097,0,2097
2022-08-25,590792915541_1,Delivered,Uttar Pradesh,226024,24.20000000000000,508,0,508
2022-08-15,756746970573_1,Return,Tamil Nadu,600117,64.30000000000000,1350,114,1448
2022-08-25,263636176870_1,Return,Rajasthan,332001,66.68000000000000,1400,81,1465
2022-08-18,668655545003_1,rto,Andhra Pradesh,533103,64.30000000000000,1350,114,1464
2022-08-10,675841565482_1,Delivered,Odisha,765015,65.14000000000000,1368,81,1449
2022-08-25,715638312753_1,Delivered,Jammu & Kashmir,181224,24.72000000000000,519,0,519
2022-08-21,643537959075_1,Delivered,Punjab,141007,64.30000000000000,1350,114,1464
2022-08-30,796423327995_1,Shipped,Chhattisgarh,495671,65.14000000000000,1368,110,1478
2022-08-06,520950302337_1,Return,Telangana,505490,64.30000000000000,1350,114,1464
2022-08-29,781373357372_1,Shipped,Bihar,848504,60.06000000000000,1261,114,1375
2022-08-14,395369627755_1,rto,Andhra Pradesh,524003,64.30000000000000,1350,114,1464
2022-08-25,313945993871_1,Delivered,Rajasthan,324002,23.48000000000000,493,0,493
2022-08-27,740854251861_1,Delivered,Chhattisgarh,490026,64.00000000000000,1344,110,1438
2022-08-14,315389638702_1,Delivered,Tamil Nadu,620008,27.68000000000000,581,0,581
2022-08-12,747803875668_1,Return,West Bengal,700030,64.30000000000000,1350,114,1464
2022-08-31,507323371165_1,Shipped,Karnataka,560005,100.30000000000000,2106,0,2106
2022-08-08,572323669372_1,Return,West Bengal,742102,64.30000000000000,1350,114,1464
2022-08-13,115964435613_1,Exchange,Jammu & Kashmir,185151,62.44000000000000,1311,123,1418
2022-08-25,120234205854_1,Shipped,Kerala,671533,24.20000000000000,508,0,508
2022-08-04,173534645547_1,Delivered,Madhya Pradesh,452002,64.30000000000000,1350,108,1458
2022-08-26,498649084066_1,Return,Kerala,670604,71.44000000000000,1500,114,1614
2022-08-26,485706928032_1,Shipped,Andhra Pradesh,517520,23.48000000000000,493,0,493
2022-08-15,912010011757_1,Return,State Bank Of India,735211,64.30000000000000,1350,114,1464
2022-08-23,748208976472_1,rto,Jammu & Kashmir,180001,66.68000000000000,1400,94,1494
2022-08-19,684818289255_1,Return,Tamil Nadu,627855,64.30000000000000,1350,114,1464
2022-08-25,640125783153_1,Delivered,Gujarat,382415,71.44000000000000,1500,148,1648
2022-08-08,403153127441_1,Delivered,Uttar Pradesh,226016,87.96000000000000,1847,0,1847
2022-08-20,882312666682_1,Return,Uttar Pradesh,229128,71.52000000000000,1502,0,1502
2022-07-29,485570015946_1,rto,Madhya Pradesh,465674,71.44000000000000,1500,140,1640
